"Year","Presence","hbf"
19,1,5
9,1,4
19,1,5
11,1,4
3,1,6
6,NA,3
7,0,5
1,1,2
24,1,6
25,1,5
3,1,6
7,NA,3
7,1,3
8,NA,5
5,1,6
11,1,4
1,NA,5
26,1,3
3,1,2
9,1,5
6,1,5
13,1,5
4,NA,3
20,1,5
12,1,5
4,1,5
7,NA,3
23,NA,5
22,1,5
13,1,3
11,1,4
1,NA,5
23,1,4
16,1,4
2,0,4
7,1,3
11,1,4
8,1,5
6,1,6
5,NA,4
20,1,4
15,0,3
9,1,5
20,1,5
2,1,3
23,1,4
15,1,5
8,0,6
5,1,6
15,0,5
15,0,4
1,1,2
25,1,4
2,0,4
15,1,4
22,1,4
25,1,3
19,NA,6
24,1,5
1,NA,3
1,1,4
12,1,4
3,1,4
3,NA,2
5,1,3
25,1,4
10,1,6
22,NA,5
11,0,4
5,NA,3
23,1,4
17,1,4
9,0,5
1,1,4
14,NA,3
9,0,4
16,NA,5
23,NA,4
9,1,3
5,1,5
2,1,5
17,0,5
6,NA,4
5,0,4
1,1,4
18,1,4
15,1,4
23,1,5
6,1,5
5,NA,5
16,NA,4
1,NA,2
9,1,3
26,0,5
25,NA,5
10,1,5
6,1,3
1,NA,2
9,1,3
8,1,3
15,1,6
3,1,4
15,1,6
16,1,4
2,0,5
12,1,3
19,1,4
4,1,2
15,NA,5
22,1,5
4,1,5
14,1,5
24,0,3
7,0,4
7,1,6
20,1,4
5,1,4
19,1,6
9,1,4
7,1,5
1,1,4
19,0,5
12,NA,4
13,NA,4
5,NA,5
10,NA,5
3,1,4
2,NA,2
8,1,3
2,NA,4
6,1,2
16,1,4
1,1,4
10,1,4
12,1,4
10,1,6
14,1,4
26,1,4
7,NA,5
18,0,4
2,1,4
1,1,5
5,NA,4
16,0,4
12,NA,4
19,0,5
10,1,4
9,1,5
2,NA,5
9,NA,4
8,0,5
3,1,2
15,0,6
4,NA,2
13,1,6
20,1,5
5,1,5
19,NA,5
4,NA,3
3,1,4
25,0,4
16,1,6
2,NA,3
3,0,4
25,1,6
14,1,6
25,NA,5
25,1,4
6,1,4
9,NA,5
7,1,3
6,1,5
5,NA,2
26,1,4
11,NA,4
7,NA,5
12,NA,5
5,1,4
19,0,4
15,1,6
5,1,4
6,NA,5
7,1,6
9,NA,4
11,1,6
9,NA,5
17,1,5
9,NA,4
21,1,4
3,0,4
3,1,4
2,1,5
12,1,5
9,NA,4
1,1,5
13,1,3
20,NA,4
11,NA,6
6,1,6
20,1,4
15,NA,4
5,NA,5
1,1,3
3,NA,5
18,1,5
10,1,3
15,NA,4
11,1,5
18,0,5
23,1,6
5,1,6
12,NA,4
11,1,6
6,NA,5
9,NA,6
7,NA,3
1,NA,2
21,1,5
22,1,6
9,1,4
13,NA,4
19,1,5
9,1,6
20,1,6
4,1,6
6,1,5
12,0,6
19,1,5
5,NA,3
18,1,4
26,1,4
3,1,5
5,NA,6
9,1,5
23,1,4
1,NA,2
3,NA,3
19,0,6
12,1,3
3,1,2
2,NA,2
3,NA,2
12,1,4
21,1,5
16,1,4
1,NA,2
14,1,3
10,1,3
2,1,4
9,NA,4
13,0,4
13,1,4
16,1,5
8,NA,3
6,1,5
8,NA,4
5,1,2
2,1,4
16,1,5
1,NA,2
14,0,4
2,NA,3
2,1,5
19,1,4
19,1,5
15,1,4
3,NA,4
14,1,6
19,NA,5
7,1,6
5,1,4
26,1,6
17,0,4
9,1,5
4,NA,2
8,NA,5
7,NA,6
15,0,4
23,1,6
8,NA,4
9,1,3
12,1,5
4,NA,4
2,NA,4
13,1,4
1,0,4
23,1,4
25,NA,5
26,1,4
3,NA,2
9,1,4
8,NA,4
2,NA,4
5,1,3
9,NA,4
14,0,6
6,NA,3
9,1,6
1,NA,2
23,1,4
14,NA,4
2,1,4
1,1,4
20,1,4
12,1,4
11,0,3
17,1,4
4,1,4
17,1,4
3,NA,4
11,1,3
21,NA,6
1,1,2
21,1,4
5,1,4
14,1,6
14,NA,4
7,1,4
8,1,4
20,NA,4
2,NA,3
2,NA,3
23,0,5
7,1,4
16,1,4
7,0,6
9,NA,3
5,1,4
4,1,4
25,1,4
25,NA,4
10,NA,5
14,1,2
4,NA,2
26,1,4
23,NA,5
23,1,5
25,1,4
13,1,5
6,1,5
24,NA,5
21,1,5
13,1,5
23,1,4
12,NA,4
7,1,4
6,0,6
26,NA,5
4,1,3
13,NA,5
9,1,4
1,1,3
23,1,4
10,1,5
5,1,2
9,0,4
1,NA,2
26,1,5
4,NA,4
17,NA,4
22,1,3
1,1,2
15,0,6
12,1,6
14,1,5
22,1,3
21,1,4
25,1,5
24,1,4
5,1,3
16,1,5
16,1,4
3,1,5
25,1,4
7,1,4
14,NA,5
6,1,4
20,1,4
14,0,5
22,1,6
24,1,4
9,1,4
8,1,6
9,1,6
5,1,4
17,1,4
17,0,5
25,NA,5
24,1,5
3,1,2
10,1,5
19,NA,4
12,1,5
22,NA,5
3,0,4
15,NA,4
13,0,5
15,0,4
21,NA,6
1,NA,2
2,1,5
15,NA,4
4,NA,5
6,NA,4
25,NA,5
6,1,6
2,1,5
9,NA,5
8,NA,3
9,1,3
6,1,5
9,1,6
14,1,5
18,1,4
21,1,5
16,1,6
5,1,6
12,1,4
17,1,5
22,1,5
20,NA,5
20,1,4
10,1,6
8,1,3
1,1,3
23,1,5
9,1,5
5,0,4
2,1,5
5,1,4
26,1,5
1,0,3
18,1,5
15,NA,4
10,1,3
23,NA,4
6,1,3
21,1,3
13,NA,4
17,1,5
7,1,3
5,1,3
2,NA,3
19,0,4
14,0,2
14,1,4
2,1,4
25,1,5
26,0,4
10,0,5
21,1,5
9,0,4
5,NA,4
1,1,2
11,1,5
15,1,4
2,1,5
25,NA,5
8,1,3
6,1,3
3,1,4
12,1,5
9,1,2
2,1,3
22,NA,5
12,0,5
9,0,5
6,1,3
12,NA,6
10,1,5
21,NA,5
4,1,3
15,1,3
6,1,2
24,0,3
18,0,5
7,1,5
2,1,3
2,0,3
9,1,3
10,1,5
24,1,5
15,1,5
16,1,5
21,1,5
9,NA,4
15,NA,5
8,NA,5
9,1,4
9,1,4
14,0,3
5,1,5
9,1,4
23,0,4
19,NA,6
2,1,2
2,NA,3
24,0,4
13,1,3
14,NA,3
